Cr_SNR	Cr_FWHM	water_FWHM	residual_water_ampl	freqShift	relResA	relResdiff1
95.8423656460999	7.12742296970374	5.85660828187425	12065626.859863	-4.08294962320998	4.56049332352557	1.86399988441258
83.9275358185974	6.80852412645946	6.87166788594772	35716215.2647794	-3.05143201315309	4.68438678252323	1.33007501623712
111.039046709895	6.40467460382477	6.16178388627759	24191462.716802	-4.53795821795761	5.92442302695516	1.41353399381004
88.917686010987	6.31439990821707	5.24625707098193	22673255.8224772	-4.32771802101395	3.42836524458952	1.27118386925116
120.717786457585	5.75928676669241	7.16951750981437	10485226.6400001	-2.16233886954709	5.9338526809913	1.56793053349859
126.779280743851	6.0108586371524	6.00919632838309	21945230.7078517	-1.58375003227381	6.31682856693299	1.4655800083957
115.929966477823	5.36968206029548	5.70401966637594	26320445.4290883	-2.08999055758212	5.77825548905053	1.14608413677476
115.19630283504	7.12186928763311	7.51711756688743	11730124.3437797	-3.15722087324648	5.79501411957088	1.26320995926403
138.826170232903	5.09366884762644	5.85660830075143	113050636.265693	-2.97937069109365	6.7831755231379	1.29919725709115
118.774392995738	6.50275539707075	5.85660835946859	10649371.3175627	-2.80097956073781	6.95446711873948	1.78108740590174
103.299008619578	6.71636352568256	7.14545966908168	23144165.0018575	-3.06106943569588	7.9956113807445	2.35107945529168
118.679369595538	6.7016769460314	6.31437236407408	16889070.4407217	-3.05133597642676	12.024917498212	4.49398946062306
