Cr_SNR	Cr_FWHM	water_FWHM	residual_water_ampl	freqShift	relResA	relResdiff1
132.635500425363	5.26880170206364	5.9189226100653	15957541.0086812	-2.34265773516909	8.4818460585914	3.51930757149088
114.004837377595	6.51552353551357	8.39664753714859	17337450.8021642	-4.41559613726435	22.845046509055	17.7192335478844
148.041213937214	6.12814582773192	7.29430408134432	4009170.2343999	-2.13874350639409	16.0079412818239	4.89508650029789
179.175195934071	5.46279677372157	5.67478269541822	4601074.89153192	-2.57339509434725	14.3157268147014	3.62762798020433
130.592342263973	5.95720950197442	6.7573723508641	20360492.1881811	-2.60330107042445	13.0358387070368	3.92924413598898
153.177618714953	5.89415046631705	7.29869458499987	7333426.09077683	-5.37117841828505	15.1777248269618	5.64747684212245
79.4365284910924	6.81198727131554	6.28513362585482	13080426.7966861	-4.36880510365898	5.35250385348628	2.75520809453541
129.004990761908	6.03785517911327	6.16306317634816	24815840.4926171	-2.4719371898409	10.6197853070945	2.95979952695351
108.63440569573	8.61771834921536	6.52927513161206	7424815.78732207	-3.26997383197394	24.5586956760065	18.4891028409356
167.38852273252	5.20743208079637	6.91375326263969	18250278.3743393	-1.61588053366436	15.979136042765	4.60900873723702
128.39718254792	7.2338957312943	8.23542724060177	4176269.63652552	-3.40909980967021	14.8989140006826	8.93458383768946
156.717925435707	5.91776615936065	7.80752014446987	12056070.8173229	-2.15366785550921	12.798384980159	3.29525183494939
